The Republic,Plato
The Symposium,Plato
The Apology,Plato
Phaedrus,Plato
Meno,Plato
Phaedo,Plato
Theaetetus,Plato
Protagoras,Plato
Gorgias,Plato
Euthyphro,Plato
Parmenides,Plato
Sophist,Plato
Statesman,Plato
Critias,Plato
Timaeus,Plato
Laches,Plato
Charmides,Plato
Lysis,Plato
,
The Ethical Treatises,Plotinus
On the Nature of the Universe,Plotinus
On the Knowing Hypostases and the Transcendent,Plotinus
"On the Presence of Being, One and the Same, Everywhere as a Whole",Plotinus
"That the Intelligibles are not External to the Intellect, and on the Good",Plotinus
On the Kinds of Being,Plotinus
,
Introduction to Categories (Isagoge),Porphyry
Life of Plotinus,Porphyry
On Abstinence from Killing Animals,Porphyry
Sententiae Ad Intelligibilia Ducentes (Pathways to the Intelligible),Porphyry
Homeric Questions,Porphyry
,
De Mysteriis (On the Mysteries),Iamblichus
Theurgia or On the Egyptian Mysteries,Iamblichus
Life of Pythagoras,Iamblichus
,
The Elements of Theology,Proclus
Platonic Theology,Proclus
Commentary on Plato's Parmenides,Proclus
Commentary on Plato's Timaeus,Proclus
The Platonic Questions,Proclus
On Providence,Proclus
On the Subsistence of Evil,Proclus
,
Commentary on Aristotle's Metaphysics,Syrianus
Commentary on Aristotle's On the Soul,Syrianus
Commentary on Hermias's Phaedrus,Syrianus
,
Commentaries on Aristotle's On the Heavens,Simplicius of Cilicia
Commentaries on Aristotle's Categories,Simplicius of Cilicia
Commentaries on Aristotle's Physics,Simplicius of Cilicia
